datetime,Accelerometer1RMS,Accelerometer2RMS,Current,Pressure,Temperature,Thermocouple,Voltage,Volume Flow RateRMS,anomaly,changepoint
2020/3/9 10:14,0.0265878,0.0401113,1.3302,0.054711,79.3366,26.0199,233.062,32,0,0
2020/3/9 10:14,0.0261697,0.0404525,1.35399,0.382638,79.5158,26.0258,236.04,32,0,0
2020/3/9 10:14,0.026199,0.0394189,1.54006,0.710565,79.3756,26.0265,251.38,32,0,0
2020/3/9 10:14,0.0260266,0.0396411,1.33458,0.382638,79.6097,26.0393,234.392,32,0,0
2020/3/9 10:14,0.02629,0.0402732,1.07851,-0.273216,79.6109,26.042,225.342,32,0,0
2020/3/9 10:14,0.0259833,0.0399922,1.07755,0.382638,79.4261,26.0318,212.291,32,0,0
2020/3/9 10:14,0.026224,0.0393439,0.629231,0.382638,79.6057,26.0395,216.81,32,0,0
2020/3/9 10:14,0.0258658,0.0399962,1.15607,-0.273216,79.342,26.0352,232.046,32,0,0
2020/3/9 10:14,0.0256937,0.0396132,0.958655,0.054711,79.5242,26.0353,226.267,32,0,0
2020/3/9 10:14,0.0259915,0.0397654,1.37175,0.054711,79.41,26.0393,237.667,32,0,0
2020/3/9 10:14,0.0256964,0.0402142,1.07822,0.054711,79.5198,26.0335,218.242,32,0,0
2020/3/9 10:14,0.0263354,0.0405587,1.30595,0.382638,79.5909,26.0335,242.51,32.9962,0,0
2020/3/9 10:14,0.0264105,0.0400795,1.17359,0.054711,79.5083,26.04,238.702,32.004,0,0
2020/3/9 10:14,0.0264216,0.0408543,1.16767,-0.273216,79.6021,26.0379,224.848,32,0,0
2020/3/9 10:14,0.0263193,0.0401669,1.1498,0.054711,79.2919,26.0367,208.544,32,0,0
2020/3/9 10:14,0.0266522,0.0415971,1.21304,0.054711,79.4979,26.0387,234.563,32,0,0
2020/3/9 10:14,0.026419,0.0406262,1.19543,-0.273216,79.5396,26.0337,232.02,32,0,0
2020/3/9 10:14,0.0265399,0.0413307,1.17288,0.054711,79.3446,26.0351,222.892,32.9962,0,0
2020/3/9 10:14,0.0262798,0.0404813,1.07687,-0.273216,79.4268,26.0355,222.696,32.004,0,0
2020/3/9 10:14,0.0261456,0.0402622,1.12605,-0.273216,79.5575,26.0369,228.539,32,0,0
2020/3/9 10:14,0.0262362,0.0409411,1.24168,-0.273216,79.5932,26.0369,210.773,32,0,0
2020/3/9 10:14,0.0260352,0.0410014,1.25813,0.054711,79.3956,26.0355,232.808,32,0,0
2020/3/9 10:14,0.0265683,0.0413388,1.09,0.054711,79.4482,26.0355,218.073,32.9962,0,0
