price71,price82,tax71,tax82,price71_82,tax71_82
2.18359375,1.739990234,1.102294922,0.461975098,0.443786621,0.640380859
2.346679688,1.797363281,1.364990234,0.571899414,0.549316406,0.79296875
1.569580078,1.513427734,0.551269531,0.230987549,0.05619812,0.320251465
1.506591797,1.451904297,0.524902344,0.219970703,0.054794312,0.304992676
2.346679688,1.797363281,1.364990234,0.571899414,0.549316406,0.79296875
2.209960938,2.025878906,1.154785156,0.747924805,0.184082031,0.406982422
,,,,,
,,,,,
2.346679688,1.797363281,1.364990234,0.571899414,0.549316406,0.79296875
2.346679688,1.797363281,1.364990234,0.571899414,0.549316406,0.79296875
2.346679688,1.797363281,1.364990234,0.571899414,0.549316406,0.79296875
2.346679688,1.797363281,1.364990234,0.571899414,0.549316406,0.79296875
,,,,,
2.346679688,1.797363281,1.364990234,0.571899414,0.549316406,0.79296875
,,,,,
2.346679688,1.797363281,1.364990234,0.571899414,0.549316406,0.79296875
2.314941406,1.803955078,1.351806641,0.56640625,0.511230469,0.78527832
2.241699219,1.828125,1.049804688,0.505981445,0.413574219,0.543945313
2.241699219,1.828125,1.049804688,0.505981445,0.413574219,0.543945313
2.241699219,1.828125,1.049804688,0.505981445,0.413574219,0.543945313
2.241699219,1.828125,1.049804688,0.505981445,0.413574219,0.543945313
2.099609375,1.693847656,1.049804688,0.439941406,0.405944824,0.609985352
,,,,,
,,,,,
,,,,,
2.346679688,1.797363281,1.364990234,0.571899414,0.549316406,0.79296875
2.346679688,1.797363281,1.364990234,0.571899414,0.549316406,0.79296875
2.346679688,1.797363281,1.364990234,0.571899414,0.549316406,0.79296875
2.346679688,1.797363281,1.364990234,0.571899414,0.549316406,0.79296875
2.346679688,1.797363281,1.364990234,0.571899414,0.549316406,0.79296875
2.346679688,1.797363281,1.364990234,0.571899414,0.549316406,0.79296875
1.706298828,1.665283203,0.734985352,0.406982422,0.040893555,0.327941895
2.346679688,1.797363281,1.364990234,0.571899414,0.549316406,0.79296875
2.241699219,1.828125,1.049804688,0.505981445,0.413574219,0.543945313
2.414550781,1.951171875,1.259765625,0.637939453,0.463562012,0.621948242
2.414550781,1.951171875,1.259765625,0.637939453,0.463562012,0.621948242
2.414550781,1.951171875,1.259765625,0.637939453,0.463562012,0.621948242
1.769287109,1.8984375,0.629882813,0.461975098,-0.129272461,0.167999268
2.414550781,1.951171875,1.259765625,0.637939453,0.463562012,0.621948242
2.692871094,2.103027344,1.522460938,0.637939453,0.590087891,0.884399414
2.414550781,1.951171875,1.259765625,0.637939453,0.463562012,0.621948242
2.414550781,1.951171875,1.259765625,0.637939453,0.463562012,0.621948242
2.414550781,1.951171875,1.259765625,0.637939453,0.463562012,0.621948242
2.414550781,1.951171875,1.259765625,0.637939453,0.463562012,0.621948242
2.209960938,2.025878906,1.154785156,0.747924805,0.184082031,0.406982422
2.414550781,1.951171875,1.259765625,0.637939453,0.463562012,0.621948242
2.015625,1.814941406,0.944946289,0.483947754,0.20098877,0.460998535
2.414550781,1.951171875,1.259765625,0.637939453,0.463562012,0.621948242
2.414550781,1.951171875,1.259765625,0.637939453,0.463562012,0.621948242
1.963378906,1.729003906,0.892456055,0.41796875,0.234283447,0.474487305
2.18359375,1.739990234,1.102294922,0.461975098,0.443786621,0.640380859
2.099609375,1.929199219,0.997436523,0.637939453,0.170593262,0.35949707
2.015625,1.814941406,0.944946289,0.483947754,0.20098877,0.460998535
2.18359375,1.739990234,1.102294922,0.461975098,0.443786621,0.640380859
2.220703125,1.856689453,1.049804688,0.527954102,0.363952637,0.521972656
2.099609375,1.775390625,0.997436523,0.41796875,0.324584961,0.579467773
2.18359375,1.739990234,1.102294922,0.461975098,0.443786621,0.640380859
1.569580078,1.513427734,0.551269531,0.230987549,0.05619812,0.320251465
2.099609375,1.929199219,0.997436523,0.637939453,0.170593262,0.35949707
2.099609375,1.929199219,0.997436523,0.637939453,0.170593262,0.35949707
1.569580078,1.513427734,0.551269531,0.230987549,0.05619812,0.320251465
2.209960938,2.025878906,1.154785156,0.747924805,0.184082031,0.406982422
2.099609375,1.693847656,1.049804688,0.439941406,0.405944824,0.609985352
1.706298828,1.665283203,0.734985352,0.406982422,0.040893555,0.327941895
1.506591797,1.451904297,0.524902344,0.219970703,0.054794312,0.304992676
2.146972656,1.735595703,1.049804688,0.439941406,0.411499023,0.609985352
,,,,,
2.209960938,2.025878906,1.154785156,0.747924805,0.184082031,0.406982422
,,,,,
2.346679688,1.797363281,1.364990234,0.571899414,0.549316406,0.79296875
2.414550781,1.951171875,1.259765625,0.637939453,0.463562012,0.621948242
2.241699219,1.828125,1.049804688,0.505981445,0.413574219,0.543945313
2.414550781,1.951171875,1.259765625,0.637939453,0.463562012,0.621948242
2.414550781,1.951171875,1.259765625,0.637939453,0.463562012,0.621948242
2.414550781,1.951171875,1.259765625,0.637939453,0.463562012,0.621948242
2.414550781,1.951171875,1.259765625,0.637939453,0.463562012,0.621948242
2.414550781,1.951171875,1.259765625,0.637939453,0.463562012,0.621948242
2.414550781,1.951171875,1.259765625,0.637939453,0.463562012,0.621948242
2.414550781,1.951171875,1.259765625,0.637939453,0.463562012,0.621948242
2.015625,1.814941406,0.944946289,0.483947754,0.20098877,0.460998535
2.314941406,1.803955078,1.351806641,0.56640625,0.511230469,0.78527832
1.963378906,1.729003906,0.892456055,0.41796875,0.234283447,0.474487305
2.015625,1.814941406,0.944946289,0.483947754,0.20098877,0.460998535
2.015625,1.814941406,0.944946289,0.483947754,0.20098877,0.460998535
2.015625,1.814941406,0.944946289,0.483947754,0.20098877,0.460998535
2.015625,1.814941406,0.944946289,0.483947754,0.20098877,0.460998535
,,,,,
2.456542969,1.990966797,1.3125,0.637939453,0.465942383,0.674438477
2.346679688,1.797363281,1.364990234,0.571899414,0.549316406,0.79296875
2.015625,1.814941406,0.944946289,0.483947754,0.20098877,0.460998535
2.015625,1.814941406,0.944946289,0.483947754,0.20098877,0.460998535
,,,,,
2.015625,1.814941406,0.944946289,0.483947754,0.20098877,0.460998535
